   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
fg 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   1118 0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fh 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    4  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fi 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  162 0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   3999 0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    42 0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   2    0    0 0 0  0  0 
fx 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  114 0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fz 0   1    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   7  0 4     0    4   0  0    0   0  0   0  0   0    0   0  0    0   2     0  0   0    0    0 0 0  0  0 
i  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
nc 12  490  1    0    1    2   0  4    8   0    0  0  0    0   0   0    0  0   0    0  0   0  0 16497 106  2   0  0    0   0  2   5  2   0    0   0  12   0   10    1  0   319  14   0 0 2  0  0 
np 0   19   1    0    0    1   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 241   3065 0   0  0    1   0  0   0  1   0    0   0  0    0   3     0  0   63   0    0 0 0  0  0 
nu 0   7    0    0    0    0   0  0    3   0    0  0  0    0   0   0    0  0   0    0  0   0  0 91    3    265 0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   25   0    0 0 0  0  0 
ot 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
p0 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  1040 0   0  0   0  33  0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pd 0   0    0    0    0    16  0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     0    0   0  0    172 0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pe 0   0    0    0    0    0   0  0    0   0    1  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pi 0   3    0    0    0    0   0  248  0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  0    0   0  305 0  0   1    0   0  12   0   0     0  0   0    0    0 0 0  0  0 
pn 0   0    0    0    0    0   0  0    54  0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  1   28 0   0    0   0  0    0   0     0  0   1    0    0 0 0  0  0 
pp 0   1    0    0    157  0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  62   0   0  0   0  868 0    0   0  22   0   0     0  0   0    0    0 0 0  0  0 
pr 0   0    0    76   0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   1582 0   0  3    0   0     0  0   0    0    0 0 0  0  0 
pt 0   0    0    0    0    0   0  0    0   0    15 0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   1    115 0  0    0   0     0  0   1    0    0 0 0  0  0 
px 0   0    0    0    0    0   0  0    0   3    0  0  0    0   0   0    0  0   0    0  0   0  0 4     0    0   0  0    0   0  0   0  0   0    0   9  0    0   0     0  0   4    0    0 0 0  0  0 
rg 0   98   20   12   0    0   0  3    2   0    0  0  0    0   0   0    0  0   0    0  0   0  0 79    3    0   0  0    0   0  16  0  0   1    0   0  3166 23  17    0  0   94   1    0 0 0  0  0 
rn 0   0    3    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  3    799 0     0  0   1    0    0 0 0  0  0 
sp 0   10   0    54   0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 10    0    0   0  0    0   0  0   0  0   0    0   0  4    0   13556 0  0   11   0    0 0 0  0  0 
un 0   12   0    2    0    0   0  0    0   0    0  0  0    0   16  1    0  0   2    0  0   1  0 11    9    0   0  0    0   0  0   0  0   0    1   0  1    0   1     5  0   7    0    0 0 0  0  0 
va 0   1    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  846 6    0    0 0 0  0  0 
vm 0   371  0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 323   112  0   0  0    0   0  0   0  0   0    0   0  0    0   1     0  1   8572 8    0 0 0  0  0 
vs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     2    0   0  0    0   0  0   0  0   0    0   0  6    0   0     0  0   3    1417 0 0 0  0  0 
w  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
z  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
zm 0   1    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     1    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 55 0  0 
zp 0   1    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 55    0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  26 0 
zu 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
