   ao aq   cc   cs   da   dd de di   dn dp  dt fa fc   fd fe  fg fh fi fp   fs fx fz i nc    np   nu ot p0  pd pe pi pn pp pr   pt px rg   rn sp    un va  vm   vs  w z zm zp zu
pi 0  33   0    3    134  0  0  150  0  0   0  0  7    0  0   0  0  0  0    0  0  0  0 91    4    0  0  0   0  0  0  0  0  2    0  0  25   0  44    0  0   78   0   0 0 0  0  0 
pn 0  8    0    0    25   0  0  0    0  0   0  0  1    0  0   0  0  0  0    0  0  0  0 28    7    0  0  0   0  0  0  0  0  0    0  0  0    0  8     0  0   7    0   0 0 0  0  0 
pp 0  37   0    2    478  0  0  1    0  0   0  0  45   0  0   0  0  0  1    0  0  0  0 100   28   0  0  27  0  0  0  0  0  0    0  0  1    0  115   0  0   276  0   0 0 0  0  0 
pr 0  5    0    207  49   0  0  1    0  0   0  0  7    0  0   0  0  0  3    0  0  0  0 50    2    0  0  0   0  0  0  0  0  1324 0  0  0    0  8     0  0   5    0   0 0 0  0  0 
pt 0  1    0    8    48   0  0  0    0  0   0  0  7    0  0   0  0  0  0    0  0  0  0 14    16   0  0  0   0  0  0  0  0  0    0  0  0    0  19    0  0   19   0   0 0 0  0  0 
px 0  0    0    0    12   0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 3     0    0  0  0   0  0  0  0  0  0    0  0  0    0  1     0  0   4    0   0 0 0  0  0 
rg 0  234  15   2    570  0  0  7    0  0   0  0  61   0  0   0  0  0  6    0  0  0  0 332   17   0  0  0   0  0  0  0  0  1    0  0  1546 0  511   0  0   233  0   0 0 0  0  0 
rn 0  43   2    0    113  0  0  0    0  0   0  0  38   0  0   0  0  0  8    0  0  0  0 113   19   0  0  0   0  0  0  0  0  0    0  0  56   87 138   0  0   189  0   0 0 0  0  0 
sp 0  2    0    29   509  0  0  0    0  0   0  0  18   0  0   0  0  0  0    0  0  0  0 152   45   0  0  0   0  0  0  0  0  0    0  0  1    0  12856 0  0   33   0   0 0 0  0  0 
un 0  1    0    0    11   0  0  0    0  0   0  0  0    0  15  0  0  0  3    0  0  0  0 7     8    0  0  0   0  0  0  0  0  2    0  0  1    0  14    0  0   7    0   0 0 0  0  0 
va 0  57   0    0    81   0  0  0    0  0   0  0  37   0  0   0  0  0  3    0  0  0  0 94    6    0  0  0   0  0  0  0  0  2    0  0  0    0  126   0  100 347  0   0 0 0  0  0 
vm 0  277  0    4    1080 0  0  3    0  0   0  0  175  0  0   0  0  0  9    0  0  0  0 774   42   0  0  0   0  0  0  0  0  8    0  0  4    0  1094  0  0   5918 0   0 0 0  0  0 
vs 0  91   0    4    171  0  0  0    0  0   0  0  65   0  0   0  0  0  1    0  0  0  0 159   14   0  0  0   0  0  0  0  0  0    0  0  1    0  319   0  0   364  244 0 0 0  0  0 
w  0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0  0     0  0   0    0   0 0 0  0  0 
z  0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0  0     0  0   0    0   0 0 0  0  0 
zm 0  3    0    0    1    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 48    0    0  0  0   0  0  0  0  0  0    0  0  0    0  7     0  0   0    0   0 0 0  0  0 
zp 0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 76    5    0  0  0   0  0  0  0  0  0    0  0  0    0  1     0  0   0    0   0 0 0  0  0 
zu 0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0  0     0  0   0    0   0 0 0  0  0 
