   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
pi 0   4    0    0    0    0   0  245  0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  0    0   0  307 0  0   1    0   0  12   0   0     0  0   0    0    0 0 0  0  0 
pn 0   0    0    0    0    0   0  0    49  0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  1   33 0   0    0   0  0    0   0     0  0   1    0    0 0 0  0  0 
pp 0   1    0    0    156  0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  60   0   0  0   0  869 0    0   0  23   0   0     0  0   0    0    0 0 0  0  0 
pr 0   0    0    72   0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   1585 0   0  3    0   0     1  0   0    0    0 0 0  0  0 
pt 0   0    0    0    0    0   0  0    0   0    14 0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   1    116 0  0    0   0     0  0   1    0    0 0 0  0  0 
px 0   0    0    0    0    0   0  0    0   3    0  0  0    0   0   0    0  0   0    0  0   0  0 4     0    0   0  0    0   0  0   0  0   0    0   9  0    0   0     0  0   4    0    0 0 0  0  0 
rg 0   95   21   12   0    0   0  3    2   0    0  0  0    0   0   0    0  0   0    0  0   0  0 78    3    0   0  0    0   0  16  0  0   1    0   0  3164 23  17    0  0   99   1    0 0 0  0  0 
rn 0   0    3    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  3    799 0     0  0   1    0    0 0 0  0  0 
sp 0   8    0    54   0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 10    0    0   0  0    0   0  0   0  0   0    0   0  4    0   13556 0  0   13   0    0 0 0  0  0 
un 0   12   0    2    0    0   0  0    0   0    0  0  0    0   16  1    0  0   2    0  0   1  0 10    9    0   0  0    0   0  0   0  0   0    1   0  2    0   1     5  0   7    0    0 0 0  0  0 
va 0   1    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  846 6    0    0 0 0  0  0 
vm 0   356  0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 348   112  0   0  0    0   0  0   0  0   0    0   0  0    0   1     0  1   8562 8    0 0 0  0  0 
vs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     2    0   0  0    0   0  0   0  0   0    0   0  5    0   0     0  0   3    1418 0 0 0  0  0 
w  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
z  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
zm 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     1    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 55 0  0 
zp 0   1    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 55    0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  26 0 
zu 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
