   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
ao 261 0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  0   0  0   0    0   0  1    0   0     0  0   0    0    0 0 0  0  0 
aq 0   5852 0    0    0    1   0  24   4   0    0  0  0    0   0   0    0  0   0    0  0   0  0 589   34   0   0  0    0   0  0   0  0   0    0   0  9    0   5     1  0   375  0    0 0 0  0  0 
cc 0   0    3169 1    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     1    0   0  0    0   0  0   0  0   0    0   0  45   0   1     0  0   10   1    0 0 0  0  0 
cs 0   3    20   2025 0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 10    0    0   0  0    0   0  0   0  0   229  0   0  6    0   19    0  0   16   0    0 0 0  0  0 
da 0   0    0    0    9023 0   0  0    1   0    0  0  0    0   0   0    0  0   0    0  0   0  0 86    4    56  0  0    0   0  0   0  20  0    0   0  0    0   0     0  0   1    0    1 0 0  0  0 
dd 0   2    0    0    0    575 0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     1    0   0  0    6   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
de 0   0    0    0    0    0   3  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    5   0  0    0   0     0  0   0    0    0 0 0  0  0 
di 0   29   0    0    0    0   0  2783 0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     1    0   0  0    0   0  33  0  0   0    0   0  24   0   0     0  0   2    0    0 0 0  0  0 
dn 0   0    0    0    0    0   0  28   328 0    0  0  0    0   0   0    0  0   0    0  0   0  0 4     2    2   0  0    0   0  0   5  0   0    0   0  0    0   0     0  0   1    0    0 0 0  0  0 
dp 0   0    0    0    0    0   0  0    0   1097 0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
