   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
ao 257 0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 4     0    0   0  0    0   0  0   0  0   0    0   0  2    0   0     0  0   0    0    0 0 0  0  0 
aq 1   5696 4    5    70   0   0  11   6   1    0  1  74   1   38  23   0  2   5    0  0   0  0 439   77   0   0  2    0   0  2   0  2   40   0   0  54   1   94    2  2   238  1    0 0 2  0  0 
cc 0   0    3157 1    1    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     8    0   0  0    0   0  0   0  0   0    0   0  60   0   0     0  0   1    1    0 0 0  0  0 
cs 0   0    26   2089 2    0   0  0    0   0    0  0  0    0   2   0    0  0   0    0  0   0  0 1     3    0   0  2    0   0  0   0  0   179  0   0  7    1   11    5  0   0    0    0 0 0  0  0 
da 0   4    0    1    9012 1   0  0    0   0    0  0  0    0   0   7    0  0   0    0  0   0  0 82    29   7   0  1    0   0  0   1  34  2    0   0  0    0   0     0  0   7    0    4 0 0  0  0 
dd 0   0    0    0    2    576 0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    6   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
de 0   0    0    0    0    0   4  0    0   0    2  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    2   0  0    0   0     0  0   0    0    0 0 0  0  0 
di 0   57   0    0    5    0   0  2756 0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  0    0   0  52  0  0   0    0   0  5    0   0     0  0   0    0    0 0 0  0  0 
dn 1   0    0    0    4    0   0  27   327 0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    4   0  0    0   0  1   5  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
dp 0   0    0    0    0    0   0  0    0   1094 0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   3  0    0   0     0  0   0    0    0 0 0  0  0 
dt 0   0    0    0    1    0   3  0    0   1    13 0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    2   0  0    0   0     0  0   0    0    0 0 0  0  0 
fa 0   0    0    0    0    0   0  0    0   0    0  52 0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fc 0   0    0    0    0    0   0  0    0   0    0  0  5543 0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fd 0   0    0    0    0    0   0  0    0   0    0  0  0    282 0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   596 0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fg 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   1118 0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fh 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    4  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fi 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  162 0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   3995 0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     4  0   0    0    0 0 0  0  0 
fs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    42 0   0  0 1     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   1    0    0 0 0  0  0 
fx 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  114 0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fz 0   0    1    0    1    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   7  0 0     1    4   0  0    0   0  0   0  0   0    0   0  0    0   4     0  0   0    0    0 0 0  0  0 
i  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
nc 7   339  7    1    159  0   0  3    6   0    0  0  23   0   14  16   0  1   3    0  1   0  0 16308 298  7   0  1    0   0  6   5  3   25   0   0  40   2   41    8  0   146  14   0 0 4  2  0 
np 0   132  4    10   36   0   0  3    0   1    0  0  24   0   41  11   0  4   3    0  0   0  0 567   2255 8   0  33   4   0  0   1  9   54   2   0  52   11  47    3  0   77   1    0 0 0  2  0 
nu 0   14   0    0    47   0   0  1    3   0    0  0  1    0   0   0    0  0   0    0  0   0  0 22    23   264 0  2    0   0  0   0  0   2    0   0  4    0   6     0  0   4    0    0 0 1  0  0 
ot 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
p0 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  1043 0   0  0   0  30  0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pd 0   0    0    0    1    4   0  0    0   0    0  0  0    0   1   0    0  0   0    0  0   0  0 0     2    0   0  0    183 0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    1   0  0    0   0     0  0   0    0    0 0 0  0  0 
pi 0   2    0    0    0    0   0  29   0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     2    0   0  0    0   0  521 0  0   1    0   0  14   0   0     0  0   2    0    0 0 0  0  0 
pn 0   0    0    0    0    0   0  0    10  0    0  0  0    0   1   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  1   72 0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pp 0   0    0    0    38   0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     2    0   0  69   0   0  0   0  989 0    0   0  12   0   0     0  0   0    0    0 0 0  0  0 
pr 0   0    0    137  0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  3   0  0   1520 0   0  1    0   0     0  0   0    0    0 0 0  0  0 
pt 0   0    0    0    0    0   4  0    0   0    15 0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   1    111 0  0    0   1     0  0   0    0    0 0 0  0  0 
px 0   0    0    0    1    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     3    0   0  0    0   0  0   0  0   0    0   13 1    0   0     0  0   2    0    0 0 0  0  0 
rg 1   45   21   5    25   0   0  4    2   0    0  0  10   0   6   4    0  0   0    0  0   0  0 43    31   1   0  1    0   0  10  0  4   2    0   0  3213 24  58    0  0   23   2    0 0 0  0  0 
rn 0   0    3    0    1    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  6    796 0     0  0   0    0    0 0 0  0  0 
sp 0   2    3    56   14   0   0  0    0   0    0  0  1    0   1   0    0  0   0    0  0   0  0 2     5    0   0  0    0   0  0   0  0   1    0   0  14   0   13540 0  0   6    0    0 0 0  0  0 
un 0   4    0    2    0    0   0  0    0   0    0  0  1    0   16  3    0  0   2    0  0   1  0 5     11   1   0  0    0   0  0   0  0   0    1   0  5    0   1     12 0   4    0    0 0 0  0  0 
va 0   0    0    0    1    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     1    0   0  0    0   0  0   0  0   0    0   0  1    0   0     0  845 2    0    0 0 0  0  0 
vm 0   197  12   10   73   0   0  6    0   0    0  0  59   0   35  15   0  6   1    1  0   0  0 243   74   0   0  7    0   0  2   1  3   10   0   0  62   6   309   2  6   8229 19   0 0 0  0  0 
vs 0   0    0    0    2    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 4     0    0   0  0    0   0  0   0  0   0    0   0  4    0   1     0  0   4    1418 0 0 0  0  0 
w  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
z  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
zm 0   1    0    0    0    0   0  0    0   0    0  0  1    0   0   0    0  0   0    0  0   0  0 3     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 54 0  0 
zp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 49    3    2   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  28 0 
zu 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
