   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
ao 255 1    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     0    0   0  0    0   0  0   0  0   0    0   0  1    0   0     0  0   1    0    0 0 0  0  0 
aq 0   5436 0    0    0    0   0  17   4   0    0  0  0    0   0   0    0  0   0    0  0   0  0 882   44   6   0  0    0   0  0   0  0   0    0   0  4    0   5     1  0   495  0    0 0 0  0  0 
cc 0   3    3162 1    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 4     1    0   0  0    0   0  0   0  0   0    0   0  44   0   1     0  0   12   1    0 0 0  0  0 
cs 0   11   16   2003 0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 13    1    0   0  0    0   0  0   0  0   225  0   0  7    0   19    0  0   33   0    0 0 0  0  0 
da 0   0    0    0    8967 0   0  0    1   0    0  0  0    0   0   0    0  0   0    0  0   0  0 118   4    68  0  0    0   0  0   0  31  0    0   0  0    0   0     0  0   3    0    0 0 0  0  0 
dd 0   7    0    0    0    545 0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 12    5    0   0  0    7   0  0   0  0   0    0   0  0    0   0     0  0   8    0    0 0 0  0  0 
de 0   0    0    0    0    0   0  0    0   0    4  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    4   0  0    0   0     0  0   0    0    0 0 0  0  0 
di 0   42   0    0    0    0   0  2735 0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 24    5    0   0  0    0   0  39  0  0   0    0   0  23   0   0     0  0   9    0    0 0 0  0  0 
dn 0   5    0    0    0    0   0  28   288 0    0  0  0    0   0   0    0  0   0    0  0   0  0 26    3    1   0  0    0   0  0   6  0   0    0   0  0    0   0     0  0   13   0    0 0 0  0  0 
dp 0   2    0    0    0    0   0  0    0   1087 0  0  0    0   0   0    0  0   0    0  0   0  0 5     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   3    0    0 0 0  0  0 
dt 0   2    0    0    0    0   0  0    0   0    7  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  0    0   0  0   0  0   0    7   0  0    0   0     0  0   2    0    0 0 0  0  0 
fa 0   0    0    0    0    0   0  0    0   0    0  52 0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fc 0   0    0    0    0    0   0  0    0   0    0  0  5543 0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fd 0   0    0    0    0    0   0  0    0   0    0  0  0    282 0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   596 0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fg 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   1118 0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fh 0   2    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fi 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  162 0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   3999 0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    42 0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   2    0    0 0 0  0  0 
fx 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  114 0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fz 0   1    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   7  0 3     0    4   0  0    0   0  0   0  0   0    0   0  0    0   2     0  0   1    0    0 0 0  0  0 
i  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
nc 12  704  0    0    4    0   0  3    1   0    0  0  0    0   0   0    0  0   0    0  0   0  0 16151 113  12  0  0    0   0  2   2  1   0    0   0  11   0   10    0  1   443  19   0 0 1  0  0 
np 0   21   1    0    0    1   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 258   3031 2   0  0    1   0  0   0  0   0    0   0  0    0   3     0  0   77   0    0 0 0  0  0 
nu 0   17   0    0    2    0   0  0    3   0    0  0  0    0   0   0    0  0   0    0  0   0  0 98    2    233 0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   39   0    0 0 0  0  0 
ot 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
p0 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  1039 0   0  0   0  33  0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pd 0   2    0    0    0    14  0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 6     1    0   0  0    162 0  0   0  0   0    0   0  1    0   0     0  0   5    0    0 0 0  0  0 
pe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    1   0  0    0   0     0  0   0    0    0 0 0  0  0 
pi 0   7    0    0    0    0   0  229  0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 4     2    0   0  0    0   0  313 0  0   1    0   0  12   0   0     0  0   3    0    0 0 0  0  0 
pn 0   0    0    0    0    0   0  0    45  0    0  0  0    0   0   0    0  0   0    0  0   0  0 6     0    0   0  0    0   0  1   31 0   0    0   0  0    0   0     0  0   1    0    0 0 0  0  0 
pp 0   2    0    0    152  0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 11    5    0   0  52   0   0  0   0  860 0    0   0  23   0   0     0  0   6    0    0 0 0  0  0 
pr 0   3    0    91   0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     0    0   0  0    0   0  0   0  0   1561 0   0  1    0   0     0  0   2    0    0 0 0  0  0 
pt 0   1    0    0    0    0   0  0    0   0    8  0  0    0   0   0    0  0   0    0  0   0  0 0     5    0   0  0    0   0  0   0  0   1    108 0  0    0   0     0  0   9    0    0 0 0  0  0 
px 0   0    0    0    0    0   0  0    0   1    0  0  0    0   0   0    0  0   0    0  0   0  0 9     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   10   0    0 0 0  0  0 
rg 0   193  21   9    1    0   0  2    2   0    0  0  0    0   0   0    0  0   0    0  0   0  0 124   32   1   0  0    0   0  16  0  1   0    0   0  2846 23  16    0  0   247  1    0 0 0  0  0 
rn 0   1    1    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  0   0  0   0    0   0  2    799 0     0  0   2    0    0 0 0  0  0 
sp 0   35   0    50   0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 18    0    0   0  0    0   0  0   0  0   0    0   0  4    0   13500 0  0   38   0    0 0 0  0  0 
un 0   9    0    2    0    0   0  0    0   0    0  0  0    0   16  1    0  0   2    0  0   1  0 9     13   2   0  0    0   0  0   0  0   0    1   0  1    0   1     1  0   10   0    0 0 0  0  0 
va 0   4    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 7     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  824 18   0    0 0 0  0  0 
vm 0   538  0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 555   171  5   0  0    0   0  0   0  0   0    0   0  0    0   1     0  1   8108 9    0 0 0  0  0 
vs 0   4    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 8     3    0   0  0    0   0  0   0  0   0    0   0  5    0   0     0  0   10   1403 0 0 0  0  0 
w  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
z  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
zm 0   12   0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 8     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   1    0    0 0 38 0  0 
zp 0   2    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 66    0    3   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  11 0 
zu 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
