   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
pi 0   7    0    0    0    0   0  49   0   0    0  0  1    0   0   0    0  0   0    0  0   0  0 1     2    0   0  0    0   0  485 0  0   1    0   0  22   0   0     0  0   3    0    0 0 0  0  0 
pn 0   0    0    0    0    0   0  0    18  0    0  0  0    0   0   0    0  0   0    0  0   0  0 7     0    0   0  0    0   0  1   58 0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pp 0   0    0    0    43   0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     1    0   0  95   0   0  0   0  962 0    0   0  10   0   0     0  0   0    0    0 0 0  0  0 
pr 0   0    0    148  0    1   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  3   0  0   1508 0   0  1    0   0     0  0   0    0    0 0 0  0  0 
pt 0   0    0    0    0    0   6  0    0   0    20 0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   1    104 0  0    0   1     0  0   0    0    0 0 0  0  0 
px 0   0    0    0    1    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     3    0   0  0    0   0  0   0  0   0    0   13 1    0   0     0  0   1    0    0 0 0  0  0 
rg 1   51   29   3    27   0   0  5    2   0    0  0  7    0   7   2    0  0   0    0  0   0  0 43    30   1   0  0    0   0  9   0  3   2    0   0  3202 23  60    0  0   26   2    0 0 0  0  0 
rn 0   0    2    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  10   793 0     0  0   1    0    0 0 0  0  0 
sp 0   1    3    49   13   0   0  1    0   0    0  0  1    0   1   0    0  0   0    0  0   0  0 1     5    0   0  0    0   0  0   0  0   1    0   0  16   0   13547 0  0   5    1    0 0 0  0  0 
un 0   5    0    1    0    0   0  0    0   0    0  0  0    0   16  2    0  0   3    0  0   1  0 9     6    0   0  0    0   0  0   0  0   1    1   0  8    0   1     10 0   4    1    0 0 0  0  0 
va 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 6     1    0   0  0    0   0  0   0  0   0    0   0  0    1   0     0  842 3    0    0 0 0  0  0 
vm 0   184  13   14   72   0   0  7    1   0    0  0  47   1   21  16   0  2   0    0  1   0  0 241   71   2   0  4    0   0  1   0  1   6    0   0  64   1   309   1  9   8278 20   0 0 0  1  0 
vs 0   0    0    0    1    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 8     0    0   0  0    0   0  0   0  0   0    0   0  3    0   1     0  0   10   1410 0 0 0  0  0 
w  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
z  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
zm 0   0    0    0    0    0   0  0    0   0    0  0  1    0   0   0    0  0   0    0  0   0  0 3     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 55 0  0 
zp 0   0    0    0    0    0   0  0    0   0    0  0  1    0   0   0    0  0   0    0  0   0  0 47    5    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   1    0    0 0 0  28 0 
zu 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
