   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
ao 254 0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 6     0    0   0  0    0   0  0   0  0   0    0   0  2    0   0     0  0   1    0    0 0 0  0  0 
aq 0   5598 0    0    0    0   0  17   4   0    0  0  0    0   0   0    0  0   0    0  0   0  0 672   44   5   0  0    0   0  0   0  0   0    0   0  2    0   5     1  0   546  0    0 0 0  0  0 
cc 0   2    3165 1    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     1    0   0  0    0   0  0   0  0   0    0   0  44   0   1     0  0   13   1    0 0 0  0  0 
cs 0   17   18   1862 0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     1    0   0  0    0   0  0   0  0   369  0   0  7    0   19    0  0   34   0    0 0 0  0  0 
da 0   0    0    0    8979 0   0  0    1   0    0  0  0    0   0   0    0  0   0    0  0   0  0 118   4    67  0  0    0   0  0   0  19  0    0   0  0    0   0     0  0   4    0    0 0 0  0  0 
dd 0   7    0    0    0    555 0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 8     5    0   0  0    4   0  0   0  0   0    0   0  0    0   0     0  0   5    0    0 0 0  0  0 
de 0   0    0    0    0    0   0  0    0   0    3  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    5   0  0    0   0     0  0   0    0    0 0 0  0  0 
di 0   42   0    0    0    0   0  2749 0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 17    6    0   0  0    0   0  29  0  0   0    0   0  26   0   0     0  0   8    0    0 0 0  0  0 
dn 0   13   0    0    0    0   0  28   289 0    0  0  0    0   0   0    0  0   0    0  0   0  0 24    4    1   0  0    0   0  0   3  0   0    0   0  0    0   0     0  0   8    0    0 0 0  0  0 
dp 0   2    0    0    0    0   0  0    0   1091 0  0  0    0   0   0    0  0   0    0  0   0  0 3     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   1    0    0 0 0  0  0 
dt 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  0    0   0  0   0  0   0    17  0  0    0   0     0  0   1    0    0 0 0  0  0 
fa 0   0    0    0    0    0   0  0    0   0    0  52 0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fc 0   0    0    0    0    0   0  0    0   0    0  0  5543 0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fd 0   0    0    0    0    0   0  0    0   0    0  0  0    282 0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   596 0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fg 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   1118 0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fh 0   3    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fi 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  162 0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   3999 0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    42 0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   2    0    0 0 0  0  0 
fx 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  114 0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fz 0   1    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   7  0 3     0    4   0  0    0   0  0   0  0   0    0   0  0    0   2     0  0   1    0    0 0 0  0  0 
i  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
nc 10  535  1    0    6    0   0  3    1   0    0  0  0    0   0   0    0  0   0    0  0   0  0 16246 115  22  0  0    0   0  2   2  1   0    0   0  16   0   9     0  1   497  21   0 0 2  0  0 
np 0   23   1    0    0    1   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 238   3038 4   0  0    1   0  0   0  0   0    0   0  0    0   2     0  0   87   0    0 0 0  0  0 
nu 0   34   0    0    1    0   0  0    2   0    0  0  0    0   0   0    0  0   0    0  0   0  0 87    2    238 0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   30   0    0 0 0  0  0 
ot 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
p0 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  1038 0   0  0   0  35  0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pd 0   2    0    0    0    14  0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 4     1    0   0  0    163 0  0   0  0   0    0   0  0    0   0     0  0   7    0    0 0 0  0  0 
