   ao aq   cc   cs   da   dd de di   dn dp  dt fa fc   fd fe  fg fh fi fp   fs fx fz i nc    np   nu ot p0  pd pe pi pn pp pr   pt px rg   rn sp    un va vm   vs w z zm zp zu
pi 0  35   11   3    156  0  0  117  0  0   0  0  10   0  0   0  0  0  1    0  0  0  0 101   11   0  0  0   0  0  0  0  0  4    0  0  15   0  57    0  0  50   0  0 0 0  0  0 
pn 0  11   0    1    21   0  0  0    0  0   0  0  3    0  0   0  0  0  0    0  0  0  0 27    6    0  0  0   0  0  0  0  0  0    0  0  0    0  9     0  0  6    0  0 0 0  0  0 
pp 0  76   10   5    435  0  0  0    0  0   0  0  47   0  0   0  0  0  6    0  0  0  0 101   50   0  0  22  0  0  0  0  0  0    0  0  0    0  138   0  0  221  0  0 0 0  0  0 
pr 0  7    0    86   52   0  0  1    0  0   0  0  19   0  0   0  0  0  10   0  0  0  0 103   6    0  0  0   0  0  0  0  0  1359 0  0  1    0  9     0  0  8    0  0 0 0  0  0 
pt 0  2    1    5    48   0  0  0    0  0   0  0  9    0  0   0  0  0  1    0  0  0  0 18    20   0  0  0   0  0  0  0  0  1    0  0  0    0  18    0  0  9    0  0 0 0  0  0 
px 0  0    0    0    12   0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 4     0    0  0  0   0  0  0  0  0  0    0  0  0    0  1     0  0  3    0  0 0 0  0  0 
rg 0  346  35   4    624  0  0  8    0  0   0  0  60   0  0   0  0  0  23   0  0  0  0 362   54   0  0  0   0  0  0  0  0  14   0  0  1179 0  581   0  0  245  0  0 0 0  0  0 
rn 0  68   5    0    135  0  0  0    0  0   0  0  38   0  0   0  0  0  8    0  0  0  0 104   32   0  0  0   0  0  0  0  0  5    0  0  77   22 169   0  0  143  0  0 0 0  0  0 
sp 0  4    2    29   548  0  0  0    0  0   0  0  29   0  0   0  0  0  35   0  0  0  0 202   52   0  0  0   0  0  0  0  0  0    0  0  1    0  12692 0  0  51   0  0 0 0  0  0 
un 0  3    0    0    11   0  0  0    0  0   0  0  1    0  15  0  0  0  4    0  0  0  0 4     7    0  0  0   0  0  0  0  0  2    0  0  1    0  14    0  0  7    0  0 0 0  0  0 
va 0  77   3    3    90   0  0  0    0  0   0  0  35   0  0   0  0  0  10   0  0  0  0 104   19   0  0  0   0  0  0  0  0  2    0  0  0    0  131   0  18 361  0  0 0 0  0  0 
vm 0  447  0    9    1169 0  0  9    0  0   0  0  181  0  0   0  0  0  63   0  0  0  0 939   88   0  0  0   0  0  0  0  0  14   0  0  9    0  1155  0  0  5305 0  0 0 0  0  0 
vs 0  168  11   11   180  0  0  2    0  0   0  0  70   0  0   0  0  0  9    0  0  0  0 176   32   0  0  0   0  0  0  0  0  1    0  0  6    0  345   0  0  349  73 0 0 0  0  0 
w  0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0  0     0  0  0    0  0 0 0  0  0 
z  0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0  0     0  0  0    0  0 0 0  0  0 
zm 0  7    0    2    2    0  0  0    0  0   0  0  0    0  0   0  0  0  2    0  0  0  0 37    6    0  0  0   0  0  0  0  0  0    0  0  0    0  3     0  0  0    0  0 0 0  0  0 
zp 0  1    0    0    1    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 71    8    0  0  0   0  0  0  0  0  0    0  0  0    0  1     0  0  0    0  0 0 0  0  0 
zu 0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0  0     0  0  0    0  0 0 0  0  0 
