   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
ao 260 0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  0   0  0   0    0   0  2    0   0     0  0   0    0    0 0 0  0  0 
aq 0   5898 0    0    0    0   0  24   7   0    0  0  0    0   0   0    0  0   0    0  0   0  0 526   33   0   0  0    0   0  0   0  0   0    0   0  10   0   6     2  0   388  0    0 0 0  0  0 
cc 0   0    3169 1    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     1    0   0  0    0   0  0   0  0   0    0   0  45   0   1     0  0   10   1    0 0 0  0  0 
cs 0   6    20   1925 0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 7     0    0   0  0    0   0  0   0  0   328  0   0  6    0   19    0  0   17   0    0 0 0  0  0 
da 0   0    0    0    9035 0   0  0    1   0    0  0  0    0   0   0    0  0   0    0  0   0  0 86    4    56  0  0    0   0  0   0  8   0    0   0  0    0   0     0  0   1    0    1 0 0  0  0 
dd 0   1    0    0    0    576 0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     1    0   0  0    6   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
de 0   0    0    0    0    0   3  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    5   0  0    0   0     0  0   0    0    0 0 0  0  0 
di 0   34   0    0    0    0   0  2785 0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     1    0   0  0    0   0  26  0  0   0    0   0  24   0   0     0  0   2    0    0 0 0  0  0 
dn 0   0    0    0    0    0   0  28   330 0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     2    2   0  0    0   0  0   4  0   0    0   0  0    0   0     0  0   1    0    0 0 0  0  0 
dp 0   0    0    0    0    0   0  0    0   1097 0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
dt 0   0    0    0    0    0   0  0    0   0    3  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  0   0  0   0    15  0  0    0   0     0  0   1    0    0 0 0  0  0 
fa 0   0    0    0    0    0   0  0    0   0    0  52 0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fc 0   0    0    0    0    0   0  0    0   0    0  0  5543 0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fd 0   0    0    0    0    0   0  0    0   0    0  0  0    282 0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   596 0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fg 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   1118 0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fh 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    4  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fi 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  162 0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   3999 0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    42 0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   2    0    0 0 0  0  0 
fx 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  114 0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
