   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
ao 258 0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     0    0   0  0    0   0  0   0  0   0    0   0  2    0   0     0  0   0    0    0 0 0  0  0 
aq 43  5468 1    0    98   0   0  22   7   0    0  0  86   0   15  39   0  0   4    0  0   0  0 418   149  0   0  7    1   0  0   0  0   25   0   0  53   2   146   3  5   300  0    0 0 2  0  0 
cc 0   0    3164 1    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     10   0   0  0    0   0  0   0  0   0    0   0  51   0   1     0  0   1    1    0 0 0  0  0 
cs 0   0    23   2004 2    0   0  0    0   0    0  0  2    0   1   1    0  0   0    0  0   0  0 1     3    0   0  1    0   0  0   0  0   264  0   0  6    0   12    7  0   1    0    0 0 0  0  0 
da 2   1    0    0    9025 0   0  0    0   0    0  0  0    0   0   14   0  0   0    0  0   0  0 69    40   5   0  0    0   0  0   1  22  0    0   0  0    0   4     0  0   8    0    1 0 0  0  0 
dd 0   1    0    0    2    576 0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    5   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
de 0   0    0    0    0    0   4  0    0   0    3  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    1   0  0    0   0     0  0   0    0    0 0 0  0  0 
di 0   22   0    0    5    0   0  2799 0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  48  0  0   1    0   0  1    0   0     0  0   0    0    0 0 0  0  0 
dn 1   0    0    0    4    0   0  28   330 0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     0    2   0  0    0   0  0   2  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
dp 0   0    0    0    0    0   0  0    0   1094 0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   3  0    0   0     0  0   0    0    0 0 0  0  0 
dt 0   0    0    0    2    0   1  0    0   0    16 0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    1   0  0    0   0     0  0   0    0    0 0 0  0  0 
fa 0   0    0    0    0    0   0  0    0   0    0  52 0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fc 0   0    0    0    0    0   0  0    0   0    0  0  5543 0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fd 0   0    0    0    0    0   0  0    0   0    0  0  0    282 0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   596 0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fg 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   1118 0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fh 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    4  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fi 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  162 0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   3996 0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     3  0   0    0    0 0 0  0  0 
fs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    42 0   0  0 0     2    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fx 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  114 0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fz 0   0    0    1    2    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   7  0 0     0    4   0  0    0   0  0   0  0   0    0   0  0    0   4     0  0   0    0    0 0 0  0  0 
i  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
nc 15  344  2    1    168  0   0  1    5   0    0  1  41   0   9   56   0  0   1    0  0   0  0 16033 471  2   0  8    0   0  4   5  3   7    0   0  44   4   69    4  0   176  12   0 0 4  0  0 
np 1   148  1    3    37   0   0  0    0   1    0  2  35   0   40  46   0  0   2    0  0   0  0 470   2328 0   0  40   2   0  0   0  2   48   0   0  23   24  51    0  0   90   1    0 0 0  0  0 
nu 8   4    0    0    49   0   0  0    3   0    0  0  1    0   1   1    0  0   0    0  0   0  0 14    32   258 0  0    0   0  0   0  0   2    0   0  5    0   5     0  4   7    0    0 0 0  0  0 
ot 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
