   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
pi 0   1    0    0    0    0   0  271  0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     0    0   0  0    0   0  275 0  0   1    0   0  18   0   0     0  0   0    0    0 0 0  0  0 
pn 0   0    0    0    0    0   0  0    61  0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  1   21 0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pp 0   0    0    0    257  0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  52   0   0  0   0  777 0    0   0  23   0   0     0  0   0    0    0 0 0  0  0 
pr 0   0    0    7    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   1651 0   0  3    0   0     0  0   0    0    0 0 0  0  0 
pt 0   0    0    0    0    0   0  0    0   0    2  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  0   0  0   1    128 0  0    0   0     0  0   0    0    0 0 0  0  0 
px 0   0    0    0    0    0   0  0    0   2    0  0  0    0   0   0    0  0   0    0  0   0  0 7     0    0   0  0    0   0  0   0  0   0    0   11 0    0   0     0  0   0    0    0 0 0  0  0 
rg 3   29   21   9    0    0   0  2    4   0    0  0  0    0   0   0    0  0   0    0  0   0  0 297   0    0   0  0    0   0  15  0  0   0    0   0  3115 23  17    0  0   0    0    0 0 0  0  0 
rn 0   0    3    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  0   0  0   0    0   0  3    799 0     0  0   0    0    0 0 0  0  0 
sp 0   0    0    50   0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 45    0    0   0  0    0   0  0   0  0   0    0   0  5    0   13545 0  0   0    0    0 0 0  0  0 
un 0   2    0    2    0    0   0  0    0   0    0  0  0    0   16  1    0  0   2    0  0   1  0 32    0    0   0  0    0   0  0   0  0   0    1   0  2    0   1     7  0   2    0    0 0 0  0  0 
va 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 4     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  848 1    0    0 0 0  0  0 
vm 0   167  0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2113  0    0   0  0    0   0  0   0  0   0    0   0  0    0   1     1  1   7094 11   0 0 0  0  0 
vs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 6     0    0   0  0    0   0  0   0  0   0    0   0  10   0   0     0  0   1    1416 0 0 0  0  0 
w  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
z  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
zm 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 56 0  0 
zp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 56    0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  26 0 
zu 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
