   ao aq   cc   cs   da   dd de di   dn dp  dt fa fc   fd fe  fg fh fi fp   fs fx fz i nc    np   nu ot p0  pd pe pi pn pp pr   pt px rg   rn  sp    un va  vm   vs  w z zm zp zu
pi 0  25   0    1    126  0  0  168  0  0   0  0  13   0  0   0  0  0  2    0  0  0  0 79    5    0  0  0   0  0  0  0  0  1    0  0  33   0   30    0  0   88   0   0 0 0  0  0 
pn 0  2    0    0    23   0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 36    7    0  0  0   0  0  0  0  0  0    0  0  0    0   10    0  0   6    0   0 0 0  0  0 
pp 0  12   0    2    484  0  0  0    0  0   0  0  50   0  0   0  0  0  0    0  0  0  0 58    22   0  0  50  0  0  0  0  1  0    0  0  0    0   110   0  0   322  0   0 0 0  0  0 
pr 0  3    0    229  38   0  0  0    0  0   0  0  6    0  0   0  0  0  0    0  0  0  0 32    1    0  0  0   0  0  0  0  0  1340 0  0  0    0   7     0  0   5    0   0 0 0  0  0 
pt 0  0    0    5    58   0  0  0    0  0   0  0  5    0  0   0  0  0  0    0  0  0  0 3     16   0  0  0   0  0  0  0  0  0    0  0  0    0   23    0  0   22   0   0 0 0  0  0 
px 0  0    0    0    13   0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 1     0    0  0  0   0  0  0  0  0  0    0  0  0    0   0     0  0   6    0   0 0 0  0  0 
rg 0  133  12   5    449  0  0  1    0  0   0  0  66   0  0   0  0  0  2    0  0  0  0 263   13   0  0  0   0  0  0  0  0  0    0  0  1959 4   413   0  0   215  0   0 0 0  0  0 
rn 0  17   0    0    92   0  0  0    0  0   0  0  29   0  0   0  0  0  1    0  0  0  0 106   18   0  0  0   0  0  0  0  0  0    0  0  41   256 112   0  0   134  0   0 0 0  0  0 
sp 0  1    0    35   211  0  0  0    0  0   0  0  3    0  0   0  0  0  1    0  0  0  0 39    49   0  0  0   0  0  0  0  0  0    0  0  1    0   13296 0  0   9    0   0 0 0  0  0 
un 0  1    0    2    11   0  0  0    0  0   0  0  1    0  16  0  0  0  2    0  0  0  0 6     10   0  0  0   0  0  0  0  0  0    0  0  0    0   16    0  0   4    0   0 0 0  0  0 
va 0  33   0    0    64   0  0  0    0  0   0  0  30   0  0   0  0  0  2    0  0  0  0 59    7    0  0  0   0  0  0  0  0  0    0  0  0    0   106   0  280 272  0   0 0 0  0  0 
vm 0  173  0    1    758  0  0  0    0  0   0  0  153  0  0   0  0  0  6    0  0  0  0 525   37   0  0  0   0  0  0  0  0  0    0  0  0    0   944   0  0   6791 0   0 0 0  0  0 
vs 0  29   0    0    120  0  0  0    0  0   0  0  40   0  0   0  0  0  2    0  0  0  0 137   13   0  0  0   0  0  0  0  0  0    0  0  2    0   159   0  0   317  614 0 0 0  0  0 
w  0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0   0     0  0   0    0   0 0 0  0  0 
z  0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0   0     0  0   0    0   0 0 0  0  0 
zm 0  2    0    0    1    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 48    0    0  0  0   0  0  0  0  0  0    0  0  0    0   8     0  0   0    0   0 0 0  0  0 
zp 0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 78    3    0  0  0   0  0  0  0  0  0    0  0  0    0   1     0  0   0    0   0 0 0  0  0 
zu 0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0   0     0  0   0    0   0 0 0  0  0 
